s,x,y,psi,kappa
1225.447954595413,420.8585525740976,-167.8730485799448,-1.297430321440813,-0.003377412429848266
1237.0087843557471,423.7806019518789,-179.05848530345455,-1.3305405501769736,-0.0020230714676002536
1248.5696141160813,426.46071984300943,-190.30436790477052,-1.3375027170265013,0.0008248623782204942
1260.1304438764153,429.23171400801436,-201.52819908400147,-1.3167378341198157,0.002534456915671332
1271.6912736367494,432.32087384984925,-212.66876370640546,-1.282294590262542,0.003370264838062639
1283.2521033970836,435.8432544399554,-223.68011210526757,-1.238356071697248,0.00427415624851827
1294.8129331574175,439.9069784195585,-234.50344560357476,-1.1829970931475529,0.005225660647962394
1306.3737629177517,444.60364086640857,-245.06735790716084,-1.1223237768401797,0.005008442269307206
1317.9345926780857,449.89064906356913,-255.3484822575091,-1.0721782698623332,0.00355627091802403
1329.4954224384198,455.59935418790684,-265.40162098898406,-1.0388334923136322,0.0023569284909806068
1341.056252198754,461.5874648956694,-275.29080465147086,-1.014614359661903,0.001934828596211765
1352.617081959088,467.7979372778949,-285.0419290348827,-0.9929985721652147,0.0018036917995013712
1364.1779117194221,474.2087890169299,-294.6624741533006,-0.9735539004946766,0.0015151790377120635
1375.738741479756,480.785653168916,-304.1703309306075,-0.9585963263170612,0.0010713888384245474
1387.2995712400902,487.4805127332165,-313.5954241424265,-0.9484763220739928,0.0006978553505110537
1398.8604010004244,494.2523141851962,-322.96536720416975,-0.9419865377332721,0.00044363119052913164
1410.4212307607584,501.0728720904159,-332.29987191506854,-0.9378785618972607,0.00027794096720025935
1421.9820605210925,507.92380351800625,-341.61209712889905,-0.9353796699929939,0.00015917485995147355
1433.5428902814267,514.7919535501081,-350.91162994367176,-0.9341578449427917,5.081543906609786e-05
1445.1037200417607,521.6653236434195,-360.20730461791203,-0.9343086231002099,-8.444954156426575e-05
1456.6645498020948,528.5292500614245,-369.50995414253185,-0.9362532680186731,-0.0002506753765020527
1468.2253795624288,535.3665682969188,-378.8321751947692,-0.9399496942219309,-0.00038132393859669243
1479.786209322763,542.1627436935128,-388.1844304711775,-0.9450598579793252,-0.000508675502138282
1491.3470390830971,548.9035319647948,-397.57668249621105,-0.9518280846076742,-0.0006666902668963832
1502.907868843431,555.571443233823,-407.02081029268464,-0.9605962035536318,-0.0008563002915053918
1514.4686986037652,562.1453877473216,-416.5305881457587,-0.9716769356101382,-0.001052942243379477
1526.0295283640992,568.6039678215747,-426.1191002482374,-0.9845837626046567,-0.0011602745343063383
1537.5903581244334,574.9343799449454,-435.7927272199825,-0.9980922432626929,-0.0011650010070510068
1549.1511878847675,581.1342131470898,-445.550572163986,-1.0114069460332418,-0.0011394724918815994
1560.7120176451015,587.2045994444762,-455.3894769951128,-1.024588442432404,-0.001151816468968883
1572.2728474054356,593.1425743948186,-465.30885962617265,-1.0383893472351666,-0.0012562268978686683
1583.8336771657698,598.9342665504761,-475.3143516521494,-1.0542744087830778,-0.0015271678288856306
1595.3945069261038,604.5458174073741,-485.421950304955,-1.0747131464132094,-0.002053391459035499
1606.955336686438,609.915180908803,-495.66018053047924,-1.1019839233647788,-0.0026238523727787366
1618.5161664467719,614.9783120345104,-506.053157290348,-1.1328400776410101,-0.0025762433307754814
1630.076996207106,619.7339675388099,-516.5904367009865,-1.1599104920155625,-0.0020944442718670592
1641.6378259674402,624.2318592130737,-527.2403637496434,-1.1816944537750433,-0.0017011408001771007
1653.1986557277742,628.5180459310278,-537.9772798040707,-1.1997651149316877,-0.0014409902945456757
1664.7594854881083,632.6242974948062,-548.7843043562843,-1.2151886427949867,-0.001224816267337046
1676.3203152484423,636.5777552124075,-559.6481585483385,-1.2278650416381536,-0.0009581335634831306
1687.8811450087765,640.4110519648311,-570.554986646117,-1.2371956185414568,-0.0006562558619976316
1699.4419747691106,644.1609549644597,-581.4907610657552,-1.243227703794851,-0.00040030861633031495
1711.0028045294446,647.8593308997703,-592.4440638341179,-1.2467698438382913,-0.00022602204028914576
1722.5636342897787,651.5283621065372,-603.4072297679202,-1.2487128202364168,-0.00011877501754820611
1734.124464050113,655.1819178369813,-614.3755621797314,-1.2496688293168987,-5.137916295754161e-05
1745.6852938104469,658.8287280252664,-625.3461392128606,-1.2499852309972976,-6.295132790120523e-06
1757.246123570781,662.4745401728012,-636.3170479514584,-1.2498880526493379,1.9151059694574005e-05
1768.806953331115,666.1224421525841,-647.2872619671641,-1.2496659045425906,1.2777112961108091e-05
1780.3677830914492,669.7716443970714,-658.2570435558006,-1.2497068470233104,-2.1580036937567422e-05
1791.9286128517833,673.4183728579333,-669.2276477205698,-1.250072969126488,-3.42642526251009e-05
1803.4894426121173,677.0610772947077,-680.1995887275801,-1.2503817269405846,-1.6787123097072426e-05
1815.0502723724514,680.7016765259449,-691.1722284264139,-1.2504515963478329,3.638661292900073e-06
1826.6111021327856,684.3426607623295,-702.1447403829648,-1.2503252023866014,1.714498749901064e-05
1838.1719318931196,687.9857598266266,-713.116550376166,-1.250077034764871,2.4981611838660706e-05
1849.7327616534537,691.6319860128606,-724.0873215528264,-1.2497626229184533,2.8953902113631902e-05
1861.2935914137877,695.2818693265395,-735.0568765858884,-1.2494128885199913,3.1623983618699964e-05
1872.8544211741219,698.9357994828823,-746.0250842591099,-1.2490180132929813,3.782186819453874e-05
1884.415250934456,702.5946430405471,-756.9916538732193,-1.2484954395309753,5.501238621778527e-05
1895.97608069479,706.2604360897669,-767.9559023506291,-1.2477590237121159,6.674369052673899e-05
1907.5369104551241,709.9340570225414,-778.917530530017,-1.2471774301507599,2.34608414402916e-05
1919.097740215458,713.6106245998022,-789.8781708299401,-1.2472287233210722,-2.3501962511166087e-05
1930.6585699757923,717.2850016137309,-800.8395456561161,-1.2474448019939228,-3.9251185010932465e-06
1942.2193997361264,720.9591940953769,-811.8009823384194,-1.2472056774365827,4.5109401657406124e-05
1953.7802294964604,724.638860152789,-822.7605827156603,-1.246488368618262,7.281235974643917e-05
1965.3410592567946,728.3273084438133,-833.7172305487023,-1.2456820351863425,5.979722368678011e-05
1976.9018890171287,732.0229638487734,-844.6714496142272,-1.2452369222375572,1.3906602078090307e-05
1988.4627187774627,735.7203953928415,-855.6250693217742,-1.245353382874356,-2.9483732733968382e-05
2000.0235485377968,739.4145314489482,-866.5798008577356,-1.245762382561812,-3.4341145811712126e-05
2011.5843782981308,743.1045890576352,-877.5359069019742,-1.2460501659591352,-1.480771761694556e-05
2023.145208058465,746.7927063509555,-888.4926662529631,-1.2461269907715453,-1.209165211268692e-07
